,bm25,likelyhood,pln,simple,tfidf,unigram
0,"(u'Simple_Living_Tall_Cabinet', 23.57911307359705)","('/home/wb/Documents/furniture/Wood_Marble_White_Kitchen_Cart', 2.1532689333543247)","(u'Agni_Modern_and_Contemporary_Dark_Brown_Buffet_and_Hutch_Kitchen_Cabinet', 1.5528142429806948)","(u'Shaker_Series_24-inch_Natural_Finish_7.25-inch_Deep_Inside_Open_Shelf_On_The_Wall_Cabinet', 9)","(u'Agni_Modern_and_Contemporary_Dark_Brown_Buffet_and_Hutch_Kitchen_Cabinet', 28.200394529922004)","('/home/wb/Documents/furniture/18-inch_Shaker_Series_On_the_Wall_Cabinet_', 80.306555323590814)"
1,"(u'Agni_Modern_and_Contemporary_Dark_Brown_Buffet_and_Hutch_Kitchen_Cabinet', 21.564976082180806)","('/home/wb/Documents/furniture/Simple_Living_Pine_Utility_Kitchen_Pantry', 2.0741780330558646)","(u'Simple_Living_Antique_White_Sliding_Door_Stackable_Cabinet', 1.2259249377973107)","(u'_Shaker_Series_24-inch_Natural_Finish_7.25-inch_Deep_Inside_On_The_Wall_Cabinet', 9)","(u'Simple_Living_Antique_White_Sliding_Door_Stackable_Cabinet', 24.982548527551664)","('/home/wb/Documents/furniture/36-inch_Shaker_Series_On_the_Wall_Cabinet_2.5-inches_Deep', 80.306555323590814)"
2,"(u'Kitchen_Storage_Trolley', 21.011941671120702)","('/home/wb/Documents/furniture/Inval_Kitchen_Storage_Cabinet', 1.9781361321484432)","(u'Hodedah_Kitchen_Island', 1.1326516112379281)","(u'42-inch_Andrew_Series_Narrow_On_the_Wall_7.25-inch_Interior_Depth_Cabinet', 9)","(u'Shaker_Series_24-inch_Natural_Finish_7.25-inch_Deep_Inside_Open_Shelf_On_The_Wall_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/Agni_Modern_and_Contemporary_Dark_Brown_Buffet_and_Hutch_Kitchen_Cabinet', 80.306555323590814)"
3,"(u'Maple_Wall_Cabinets', 21.011941671120702)","('/home/wb/Documents/furniture/Microwave_Cart_Stand', 1.8407601110491887)","(u'Lauren_Modern_and_Contemporary_Two-tone_Buffet', 1.1326516112379281)","(u'22-inch_Andrew_Series_Narrow_On_the_Wall_3.5-inch_Interior_Depth_Cabinet', 9)","(u'_Shaker_Series_24-inch_Natural_Finish_7.25-inch_Deep_Inside_On_The_Wall_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/Bayfield_Espresso_Shutter_Door_Corner_Floor__Cabinet_by_Elegant_Home_Fashions', 80.306555323590814)"
4,"(u'Inval_Kitchen_Storage_Cabinet', 21.011941671120702)","('/home/wb/Documents/furniture/Kitchen_Storage_Trolley', 1.7722567790523034)","(u'Genevieve_Double_Door_Floor_Cabinet_by_Elegant_Home_Fashions', 1.118731698719553)","(u'22-inch_Andrew_Series_Narrow_On_the_Wall_5.5-inch_Interior_Depth_Cabinet', 9)","(u'42-inch_Andrew_Series_Narrow_On_the_Wall_7.25-inch_Interior_Depth_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/Gallerie_Decor_Natural_Spa_Bamboo_Wall_Cabinet', 80.306555323590814)"
5,"(u'Gallerie_Decor_Natural_Spa_Bamboo_Wall_Cabinet', 20.243721449191277)","('/home/wb/Documents/furniture/Simple_Living_Tall_Cabinet', 1.7541356408143949)","(u'Altra_Blackburn_6-door_Storage_Cabinet_with_Multicolored_Door_Fronts', 1.0670219897007331)","(u'Shaker_Series_42-inch_Natural_Finish_On_The_Wall_Cabinet', 9)","(u'22-inch_Andrew_Series_Narrow_On_the_Wall_3.5-inch_Interior_Depth_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/Highland_White_Double_Glass_Door_Wall_Cabinet_by_Elegant_Home_Fashions', 80.306555323590814)"
6,"(u'Simple_Living_Pine_Utility_Kitchen_Pantry', 19.906433840527708)","('/home/wb/Documents/furniture/Multi_Onyx_16-inch_Lazy_Susan', 1.7386376399777086)","(u'Highland_White_Double_Glass_Door_Wall_Cabinet_by_Elegant_Home_Fashions', 1.0003507537766247)","(u'Shaker_Series_30-inch_Natural_Finish_12-inch_Open_Shelf_On_The_Wall_Cabinet', 9)","(u'22-inch_Andrew_Series_Narrow_On_the_Wall_5.5-inch_Interior_Depth_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/Hodedah_Kitchen_Island', 80.306555323590814)"
7,"(u'_Shaker_Series_24-inch_Natural_Finish_7.25-inch_Deep_Inside_On_The_Wall_Cabinet', 18.483634097829718)","('/home/wb/Documents/furniture/Altra_White_Kitchen_Microwave_Cart', 1.6966955253315636)","(u'Bayfield_Espresso_Shutter_Door_Corner_Floor__Cabinet_by_Elegant_Home_Fashions', 1.0003507537766247)","(u'Shaker_Series_30-inch_Natural_Finish_On_The_Wall_Cabinet', 9)","(u'Shaker_Series_42-inch_Natural_Finish_On_The_Wall_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/Inval_Kitchen_Storage_Cabinet', 80.306555323590814)"
8,"(u'Shaker_Series_42-inch_Natural_Finish_On_The_Wall_Cabinet', 18.483634097829718)","('/home/wb/Documents/furniture/Agni_Modern_and_Contemporary_Dark_Brown_Buffet_and_Hutch_Kitchen_Cabinet', 1.6871623431819529)","(u'Altra_Landry_Black_Ebony_Ash_Microwave_Cart', 0.93726340253018259)","(u'Shaker_Series_24-inch_Natural_Finish_5.5-inch_Deep_Inside_Open_Shelf_On_The_Wall_Cabinet', 9)","(u'Shaker_Series_30-inch_Natural_Finish_12-inch_Open_Shelf_On_The_Wall_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/Kitchen_Cabinet', 80.306555323590814)"
9,"(u'Shaker_Series_30-inch_Natural_Finish_On_The_Wall_Cabinet', 18.483634097829718)","('/home/wb/Documents/furniture/Simple_Living_Bistro_Retro_Dining_Table', 1.6748776882619076)","(u'Altra_White_Kitchen_Microwave_Cart', 0.93726340253018259)","(u'Shaker_Series_18-inch_Natural_Finish_5.5-inch_Deep_Inside_On_The_Wall_Cabinet', 9)","(u'Shaker_Series_30-inch_Natural_Finish_On_The_Wall_Cabinet', 23.524625215419643)","('/home/wb/Documents/furniture/Kitchen_Storage_Trolley', 80.306555323590814)"
